accession	gene	function	normal	MMS
YAL001C	TFC3	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)	NA	NA
YAL003W	EFB1	Translation elongation factor 1 beta	Down	Down
YAL005C	SSA1	ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport	Down	Down
YAL007C	ERP2	Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p	NA	NA
YAL010C	MDM10	Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins	NA	NA
YAL012W	CYS3	Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine	Down	Down
YAL015C	NTG1	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair	NA	NA
YAL016W	TPD3	Regulatory subunit A of the heterotrimeric protein phosphatase 2A (PP2A), which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p	NA	Down
YAL017W	PSK1	One of two (see also PSK2) PAS domain containing S/T protein kinases	NA	NA
YAL019W	FUN30	Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity	NA	NA
YAL022C	FUN26	Nucleoside transporter with broad nucleoside selectivity	NA	NA
YAL023C	PMT2	Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein Ser/Thr residues	NA	NA
YAL024C	LTE1	Protein similar to GDP/GTP exchange factors but without detectable GEF activity	NA	NA
YAL026C	DRS2	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles	NA	Up
YAL027W	SAW1	Protein involved in Rad1p/Rad10p-dependent removal of 3'-nonhomologous tails during double-strand break repair via single-strand annealing	NA	NA
YAL029C	MYO4	One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos	NA	NA
YAL030W	SNC1	Vesicle membrane receptor protein (v-SNARE) involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane	NA	NA
YAL031C	GIP4	Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation	NA	NA
YAL032C	PRP45	Protein required for pre-mRNA splicing	NA	NA
YAL035W	FUN12	GTPase, required for general translation initiation by promoting Met-tRNAiMet binding to ribosomes and ribosomal subunit joining	NA	NA
YAL036C	RBG1	Member of the DRG family of GTP-binding proteins	NA	NA
YAL038W	CDC19	Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration	Down	Down
YAL041W	CDC24	Guanine nucleotide exchange factor (GEF or GDP-release factor) for Cdc42p	NA	NA
YAL043C	PTA1	Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends	NA	NA
YAL044C	GCV3	H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF	NA	NA
YAL044W-A	YAL044W-A	Putative protein of unknown function	NA	NA
YAL051W	OAF1	Oleate-activated transcription factor, acts alone and as a heterodimer with Pip2p	NA	NA
YAL054C	ACS1	Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetlyation	NA	NA
YAL060W	BDH1	NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin	NA	Down
YAL061W	BDH2	Putative medium-chain alcohol dehydrogenase with similarity to BDH1	NA	NA
YAL062W	GDH3	NADP(+)-dependent glutamate dehydrogenase, synthesizes glutamate from ammonia and alpha-ketoglutarate	NA	NA
YAL067C	SEO1	Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily	NA	NA
YAR002C-A	ERP1	Protein that forms a heterotrimeric complex with Erp2p, Emp24p, and Erv25p	NA	NA
YAR002W	NUP60	Subunit of the nuclear pore complex (NPC), functions to anchor Nup2p to the NPC in a process controlled by the nucleoplasmic concentration of Gsp1p-GTP	NA	NA
YAR007C	RFA1	Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination	NA	NA
YAR008W	SEN34	Subunit of the tRNA splicing endonuclease, which is composed of Sen2p, Sen15p, Sen34p, and Sen54p	NA	NA
YAR009C	YAR009C	Retrotransposon TYA Gag and TYB Pol genes	NA	NA
YAR010C	YAR010C	Retrotransposon TYA Gag gene co-transcribed with TYB Pol	Down	Down
YAR014C	BUD14	Protein involved in bud-site selection, Bud14p-Glc7p complex is a cortical regulator of dynein	NA	NA
